"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Natalizumab",0.000370891160604602,0.33
"Natalizumab",0.000473734209554452,0.34
"Natalizumab",0.000602983513502843,0.35
"Natalizumab",0.000765047046035672,0.36
"Natalizumab",0.000967838939147474,0.37
"Natalizumab",0.0012211304636016,0.38
"Natalizumab",0.00153698329146942,0.39
"Natalizumab",0.00193028440988238,0.4
"Natalizumab",0.00241940649468241,0.41
"Natalizumab",0.00302702288425316,0.42
"Natalizumab",0.00378111260351938,0.43
"Natalizumab",0.00471619819914938,0.44
"Natalizumab",0.0058748673544715,0.45
"Natalizumab",0.0073096380149324,0.46
"Natalizumab",0.00908523531823798,0.47
"Natalizumab",0.0112813555447651,0.48
"Natalizumab",0.0139959950272369,0.49
"Natalizumab",0.017349416185054,0.5
"Natalizumab",0.0214888016418157,0.51
"Natalizumab",0.0265935999769843,0.52
"Natalizumab",0.0328814770194026,0.53
"Natalizumab",0.0406146320167635,0.54
"Natalizumab",0.0501059885808845,0.55
"Natalizumab",0.0617243907725659,0.56
"Natalizumab",0.0758973921032975,0.57
"Natalizumab",0.0931095074109249,0.58
"Natalizumab",0.113892949323398,0.59
"Natalizumab",0.138807053772313,0.6
"Natalizumab",0.1684021693978,0.61
"Natalizumab",0.203164361269625,0.62
"Natalizumab",0.243439708336248,0.63
"Natalizumab",0.289342067284559,0.64
"Natalizumab",0.340656064030432,0.65
"Natalizumab",0.396756258428085,0.66
"Natalizumab",0.456570083800163,0.67
"Natalizumab",0.518610817121219,0.68
"Natalizumab",0.581093307915204,0.69
"Natalizumab",0.642120887481375,0.7
"Natalizumab",0.699905906268654,0.71
"Natalizumab",0.752971829184681,0.72
"Natalizumab",0.800290354473727,0.73
"Natalizumab",0.84133006967501,0.74
"Natalizumab",0.87602165503799,0.75
"Natalizumab",0.904665522918086,0.76
"Natalizumab",0.927814758981341,0.77
"Natalizumab",0.946161235765205,0.78
"Natalizumab",0.96044201399779,0.79
"Natalizumab",0.971372451220162,0.8
"Natalizumab",0.979604908190487,0.81
"Natalizumab",0.985708104753065,0.82
"Natalizumab",0.990161149611176,0.83
"Natalizumab",0.993356847881952,0.84
"Natalizumab",0.995610111314154,0.85
"Natalizumab",0.997168575765279,0.86
"Natalizumab",0.998223601101094,0.87
"Natalizumab",0.998920617686262,0.88
"Natalizumab",0.999368314712839,0.89
"Natalizumab",0.999646496122526,0.9
"Natalizumab",0.999812619189898,0.91
"Natalizumab",0.999907127794779,0.92
"Natalizumab",0.999957732742792,0.93
"Natalizumab",0.999982799373837,0.94
"Natalizumab",0.999993993546121,0.95
"Natalizumab",0.99999832020433,0.96
"Natalizumab",0.999999669418843,0.97
"Natalizumab",0.999999965758063,0.98
"Natalizumab",0.999999999260986,0.99
"Untreated",1.02134103275201e-13,0.01
"Untreated",6.81761608223557e-12,0.02
"Untreated",8.16723614842119e-11,0.03
"Untreated",4.84447825047161e-10,0.04
"Untreated",1.95559111450585e-09,0.05
"Untreated",6.19010960214653e-09,0.06
"Untreated",1.65703947614412e-08,0.07
"Untreated",3.9244416511329e-08,0.08
"Untreated",8.46595312739123e-08,0.09
"Untreated",1.6969196477088e-07,0.1
"Untreated",3.20549359664835e-07,0.11
"Untreated",5.76670479465273e-07,0.12
"Untreated",9.95904554901657e-07,0.13
"Untreated",1.66132574584526e-06,0.14
"Untreated",2.69012939337781e-06,0.15
"Untreated",4.24517068300249e-06,0.16
